chromosome	start	end	gene_id	score	strand	source	type	phase	attributes
chr15	90102648	90138016	ENSG00000259685.3	.	+	HAVANA	gene	.	ID=ENSG00000259685.3;gene_id=ENSG00000259685.3;gene_type=lncRNA;gene_name=IDH2-DT;level=2;hgnc_id=HGNC:53154;havana_gene=OTTHUMG00000172203.3
chr16	2039814	2047866	ENSG00000065057.9	.	-	HAVANA	gene	.	ID=ENSG00000065057.9;gene_id=ENSG00000065057.9;gene_type=protein_coding;gene_name=NTHL1;level=1;hgnc_id=HGNC:8028;havana_gene=OTTHUMG00000128744.4
chr16	68737291	68835537	ENSG00000039068.20	.	+	HAVANA	gene	.	ID=ENSG00000039068.20;gene_id=ENSG00000039068.20;gene_type=protein_coding;gene_name=CDH1;level=2;hgnc_id=HGNC:1748;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000137561.6
chr16	81739096	81962685	ENSG00000197943.10	.	+	HAVANA	gene	.	ID=ENSG00000197943.10;gene_id=ENSG00000197943.10;gene_type=protein_coding;gene_name=PLCG2;level=1;hgnc_id=HGNC:9066;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000176532.4
chr17	31094926	31382116	ENSG00000196712.18	.	+	HAVANA	gene	.	ID=ENSG00000196712.18;gene_id=ENSG00000196712.18;gene_type=protein_coding;gene_name=NF1;level=2;hgnc_id=HGNC:7765;tag=overlapping_locus;havana_gene=OTTHUMG00000132871.10
chr17	35092220	35121522	ENSG00000185379.21	.	-	HAVANA	gene	.	ID=ENSG00000185379.21;gene_id=ENSG00000185379.21;gene_type=protein_coding;gene_name=RAD51D;level=2;hgnc_id=HGNC:9823;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000132930.5
chr17	42199176	42276707	ENSG00000173757.10	.	-	HAVANA	gene	.	ID=ENSG00000173757.10;gene_id=ENSG00000173757.10;gene_type=protein_coding;gene_name=STAT5B;level=2;hgnc_id=HGNC:11367;tag=overlapping_locus;havana_gene=OTTHUMG00000150724.4
chr17	42313323	42388540	ENSG00000168610.16	.	-	HAVANA	gene	.	ID=ENSG00000168610.16;gene_id=ENSG00000168610.16;gene_type=protein_coding;gene_name=STAT3;level=1;hgnc_id=HGNC:11364;havana_gene=OTTHUMG00000150645.4
chr17	48528525	48531011	ENSG00000120094.9	.	-	HAVANA	gene	.	ID=ENSG00000120094.9;gene_id=ENSG00000120094.9;gene_type=protein_coding;gene_name=HOXB1;level=2;hgnc_id=HGNC:5111;havana_gene=OTTHUMG00000159929.5
chr17	58353675	58417595	ENSG00000108375.13	.	-	HAVANA	gene	.	ID=ENSG00000108375.13;gene_id=ENSG00000108375.13;gene_type=protein_coding;gene_name=RNF43;level=2;hgnc_id=HGNC:18505;tag=overlapping_locus;havana_gene=OTTHUMG00000193347.1
chr17	58692572	58735611	ENSG00000108384.15	.	+	HAVANA	gene	.	ID=ENSG00000108384.15;gene_id=ENSG00000108384.15;gene_type=protein_coding;gene_name=RAD51C;level=1;hgnc_id=HGNC:9820;havana_gene=OTTHUMG00000141292.8
chr17	61679138	61863559	ENSG00000136492.10	.	-	HAVANA	gene	.	ID=ENSG00000136492.10;gene_id=ENSG00000136492.10;gene_type=protein_coding;gene_name=BRIP1;level=1;hgnc_id=HGNC:20473;havana_gene=OTTHUMG00000179233.3
chr17	63928739	63932336	ENSG00000007312.13	.	-	HAVANA	gene	.	ID=ENSG00000007312.13;gene_id=ENSG00000007312.13;gene_type=protein_coding;gene_name=CD79B;level=2;hgnc_id=HGNC:1699;tag=overlapping_locus;havana_gene=OTTHUMG00000172294.3
chr17	76734114	76737333	ENSG00000161547.17	.	-	HAVANA	gene	.	ID=ENSG00000161547.17;gene_id=ENSG00000161547.17;gene_type=protein_coding;gene_name=SRSF2;level=2;hgnc_id=HGNC:10783;tag=ncRNA_host;havana_gene=OTTHUMG00000177547.6
chr18	44676926	44679717	ENSG00000267414.1	.	-	HAVANA	gene	.	ID=ENSG00000267414.1;gene_id=ENSG00000267414.1;gene_type=lncRNA;gene_name=SETBP1-DT;level=2;hgnc_id=HGNC:54819;havana_gene=OTTHUMG00000176180.1
chr18	44680172	45068510	ENSG00000152217.20	.	+	HAVANA	gene	.	ID=ENSG00000152217.20;gene_id=ENSG00000152217.20;gene_type=protein_coding;gene_name=SETBP1;level=2;hgnc_id=HGNC:15573;tag=overlapping_locus;havana_gene=OTTHUMG00000132613.9
chr18	51028393	51085045	ENSG00000141646.14	.	+	HAVANA	gene	.	ID=ENSG00000141646.14;gene_id=ENSG00000141646.14;gene_type=protein_coding;gene_name=SMAD4;level=1;hgnc_id=HGNC:6770;tag=overlapping_locus;havana_gene=OTTHUMG00000132696.11
chr19	1177557	1228431	ENSG00000118046.16	.	+	HAVANA	gene	.	ID=ENSG00000118046.16;gene_id=ENSG00000118046.16;gene_type=protein_coding;gene_name=STK11;level=1;hgnc_id=HGNC:11389;tag=overlapping_locus;havana_gene=OTTHUMG00000180118.12
chr19	12938577	12944489	ENSG00000179218.15	.	+	HAVANA	gene	.	ID=ENSG00000179218.15;gene_id=ENSG00000179218.15;gene_type=protein_coding;gene_name=CALR;level=2;hgnc_id=HGNC:1455;tag=ncRNA_host;havana_gene=OTTHUMG00000180574.3
chr19	17824779	17848071	ENSG00000105639.20	.	-	HAVANA	gene	.	ID=ENSG00000105639.20;gene_id=ENSG00000105639.20;gene_type=protein_coding;gene_name=JAK3;level=2;hgnc_id=HGNC:6193;havana_gene=OTTHUMG00000165648.2
chr19	41877278	41881372	ENSG00000105369.10	.	+	HAVANA	gene	.	ID=ENSG00000105369.10;gene_id=ENSG00000105369.10;gene_type=protein_coding;gene_name=CD79A;level=2;hgnc_id=HGNC:1698;havana_gene=OTTHUMG00000182678.3
chr19	50384203	50418018	ENSG00000062822.15	.	+	HAVANA	gene	.	ID=ENSG00000062822.15;gene_id=ENSG00000062822.15;gene_type=protein_coding;gene_name=POLD1;level=1;hgnc_id=HGNC:9175;tag=overlapping_locus;havana_gene=OTTHUMG00000183037.11
chr2	25227854	25342590	ENSG00000119772.18	.	-	HAVANA	gene	.	ID=ENSG00000119772.18;gene_id=ENSG00000119772.18;gene_type=protein_coding;gene_name=DNMT3A;level=2;hgnc_id=HGNC:2978;tag=ncRNA_host;havana_gene=OTTHUMG00000094777.6
chr2	47192404	47345074	ENSG00000234690.7	.	-	HAVANA	gene	.	ID=ENSG00000234690.7;gene_id=ENSG00000234690.7;gene_type=lncRNA;gene_name=EPCAM-DT;level=1;hgnc_id=HGNC:52639;havana_gene=OTTHUMG00000151698.7
chr2	47345157	47387601	ENSG00000119888.11	.	+	HAVANA	gene	.	ID=ENSG00000119888.11;gene_id=ENSG00000119888.11;gene_type=protein_coding;gene_name=EPCAM;level=1;hgnc_id=HGNC:11529;tag=ncRNA_host;havana_gene=OTTHUMG00000128853.10
chr2	47403066	47663146	ENSG00000095002.15	.	+	HAVANA	gene	.	ID=ENSG00000095002.15;gene_id=ENSG00000095002.15;gene_type=protein_coding;gene_name=MSH2;level=1;hgnc_id=HGNC:7325;tag=overlapping_locus;havana_gene=OTTHUMG00000128861.10
chr2	47527007	47535199	ENSG00000235760.4	.	+	HAVANA	gene	.	ID=ENSG00000235760.4;gene_id=ENSG00000235760.4;gene_type=lncRNA;gene_name=MSH2-OT1;level=2;hgnc_id=HGNC:40319;tag=overlapping_locus;havana_gene=OTTHUMG00000151664.6
chr2	47695529	47810063	ENSG00000116062.17	.	+	HAVANA	gene	.	ID=ENSG00000116062.17;gene_id=ENSG00000116062.17;gene_type=protein_coding;gene_name=MSH6;level=2;hgnc_id=HGNC:7329;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000129129.13
chr2	136114348	136118149	ENSG00000121966.7	.	-	HAVANA	gene	.	ID=ENSG00000121966.7;gene_id=ENSG00000121966.7;gene_type=protein_coding;gene_name=CXCR4;level=2;hgnc_id=HGNC:2561;havana_gene=OTTHUMG00000153583.2
chr2	197388514	197435079	ENSG00000115524.17	.	-	HAVANA	gene	.	ID=ENSG00000115524.17;gene_id=ENSG00000115524.17;gene_type=protein_coding;gene_name=SF3B1;level=2;hgnc_id=HGNC:10768;havana_gene=OTTHUMG00000154447.6
chr2	208236228	208266074	ENSG00000138413.14	.	-	HAVANA	gene	.	ID=ENSG00000138413.14;gene_id=ENSG00000138413.14;gene_type=protein_coding;gene_name=IDH1;level=2;hgnc_id=HGNC:5382;havana_gene=OTTHUMG00000132943.14
chr2	208255246	208256181	ENSG00000231908.1	.	+	HAVANA	gene	.	ID=ENSG00000231908.1;gene_id=ENSG00000231908.1;gene_type=lncRNA;gene_name=IDH1-AS1;level=1;hgnc_id=HGNC:40292;havana_gene=OTTHUMG00000154707.1
chr20	32358329	32439319	ENSG00000171456.20	.	+	HAVANA	gene	.	ID=ENSG00000171456.20;gene_id=ENSG00000171456.20;gene_type=protein_coding;gene_name=ASXL1;level=1;hgnc_id=HGNC:18318;havana_gene=OTTHUMG00000032218.10
chr21	34787800	36004667	ENSG00000159216.19	.	-	HAVANA	gene	.	ID=ENSG00000159216.19;gene_id=ENSG00000159216.19;gene_type=protein_coding;gene_name=RUNX1;level=1;hgnc_id=HGNC:10471;tag=overlapping_locus;havana_gene=OTTHUMG00000086299.10
chr21	43092955	43107570	ENSG00000160201.12	.	-	HAVANA	gene	.	ID=ENSG00000160201.12;gene_id=ENSG00000160201.12;gene_type=protein_coding;gene_name=U2AF1;level=2;hgnc_id=HGNC:12453;havana_gene=OTTHUMG00000086836.3
chr22	20982268	20999032	ENSG00000099949.21	.	+	HAVANA	gene	.	ID=ENSG00000099949.21;gene_id=ENSG00000099949.21;gene_type=protein_coding;gene_name=LZTR1;level=2;hgnc_id=HGNC:6742;tag=overlapping_locus;havana_gene=OTTHUMG00000150878.7
chr22	23786930	23838009	ENSG00000099956.20	.	+	HAVANA	gene	.	ID=ENSG00000099956.20;gene_id=ENSG00000099956.20;gene_type=protein_coding;gene_name=SMARCB1;level=1;hgnc_id=HGNC:11103;havana_gene=OTTHUMG00000150737.11
chr22	28687742	28742422	ENSG00000183765.23	.	-	HAVANA	gene	.	ID=ENSG00000183765.23;gene_id=ENSG00000183765.23;gene_type=protein_coding;gene_name=CHEK2;level=1;hgnc_id=HGNC:16627;havana_gene=OTTHUMG00000151023.24
chr22	29603555	29698598	ENSG00000186575.19	.	+	HAVANA	gene	.	ID=ENSG00000186575.19;gene_id=ENSG00000186575.19;gene_type=protein_coding;gene_name=NF2;level=2;hgnc_id=HGNC:7773;tag=overlapping_locus;havana_gene=OTTHUMG00000030727.5
chr3	36993349	37050846	ENSG00000076242.16	.	+	HAVANA	gene	.	ID=ENSG00000076242.16;gene_id=ENSG00000076242.16;gene_type=protein_coding;gene_name=MLH1;level=1;hgnc_id=HGNC:7127;havana_gene=OTTHUMG00000130797.25
chr3	38138477	38143022	ENSG00000172936.16	.	+	HAVANA	gene	.	ID=ENSG00000172936.16;gene_id=ENSG00000172936.16;gene_type=protein_coding;gene_name=MYD88;level=1;hgnc_id=HGNC:7562;havana_gene=OTTHUMG00000131083.11
chr3	41194740	41260096	ENSG00000168036.18	.	+	HAVANA	gene	.	ID=ENSG00000168036.18;gene_id=ENSG00000168036.18;gene_type=protein_coding;gene_name=CTNNB1;level=1;hgnc_id=HGNC:2514;havana_gene=OTTHUMG00000131393.16
chr4	54229279	54298245	ENSG00000134853.12	.	+	HAVANA	gene	.	ID=ENSG00000134853.12;gene_id=ENSG00000134853.12;gene_type=protein_coding;gene_name=PDGFRA;level=2;hgnc_id=HGNC:8803;tag=overlapping_locus;havana_gene=OTTHUMG00000128699.6
chr4	54657917	54740715	ENSG00000157404.16	.	+	HAVANA	gene	.	ID=ENSG00000157404.16;gene_id=ENSG00000157404.16;gene_type=protein_coding;gene_name=KIT;level=1;hgnc_id=HGNC:6342;havana_gene=OTTHUMG00000128713.3
chr4	55078480	55125595	ENSG00000128052.10	.	-	HAVANA	gene	.	ID=ENSG00000128052.10;gene_id=ENSG00000128052.10;gene_type=protein_coding;gene_name=KDR;level=2;hgnc_id=HGNC:6307;havana_gene=OTTHUMG00000128734.6
chr4	105145874	105279816	ENSG00000168769.14	.	+	HAVANA	gene	.	ID=ENSG00000168769.14;gene_id=ENSG00000168769.14;gene_type=protein_coding;gene_name=TET2;level=2;hgnc_id=HGNC:25941;havana_gene=OTTHUMG00000131213.3
chr4	105171353	105178063	ENSG00000251586.1	.	-	HAVANA	gene	.	ID=ENSG00000251586.1;gene_id=ENSG00000251586.1;gene_type=lncRNA;gene_name=TET2-AS1;level=2;hgnc_id=HGNC:41125;havana_gene=OTTHUMG00000160996.1
chr5	1253146	1295068	ENSG00000164362.21	.	-	HAVANA	gene	.	ID=ENSG00000164362.21;gene_id=ENSG00000164362.21;gene_type=protein_coding;gene_name=TERT;level=2;hgnc_id=HGNC:11730;havana_gene=OTTHUMG00000090357.9
chr5	112707497	112846239	ENSG00000134982.17	.	+	HAVANA	gene	.	ID=ENSG00000134982.17;gene_id=ENSG00000134982.17;gene_type=protein_coding;gene_name=APC;level=2;hgnc_id=HGNC:583;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000128806.7
chr5	150113838	150155872	ENSG00000113721.14	.	-	HAVANA	gene	.	ID=ENSG00000113721.14;gene_id=ENSG00000113721.14;gene_type=protein_coding;gene_name=PDGFRB;level=1;hgnc_id=HGNC:8804;havana_gene=OTTHUMG00000130053.5
chr5	171387115	171411810	ENSG00000181163.14	.	+	HAVANA	gene	.	ID=ENSG00000181163.14;gene_id=ENSG00000181163.14;gene_type=protein_coding;gene_name=NPM1;level=1;hgnc_id=HGNC:7910;havana_gene=OTTHUMG00000130465.4
chr6	117287352	117425942	ENSG00000047936.11	.	-	HAVANA	gene	.	ID=ENSG00000047936.11;gene_id=ENSG00000047936.11;gene_type=protein_coding;gene_name=ROS1;level=2;hgnc_id=HGNC:10261;tag=overlapping_locus;havana_gene=OTTHUMG00000016188.1
chr7	2906141	3043867	ENSG00000198286.10	.	-	HAVANA	gene	.	ID=ENSG00000198286.10;gene_id=ENSG00000198286.10;gene_type=protein_coding;gene_name=CARD11;level=2;hgnc_id=HGNC:16393;havana_gene=OTTHUMG00000023023.6
chr7	2944034	2947091	ENSG00000237286.1	.	+	HAVANA	gene	.	ID=ENSG00000237286.1;gene_id=ENSG00000237286.1;gene_type=lncRNA;gene_name=CARD11-AS1;level=1;hgnc_id=HGNC:40766;havana_gene=OTTHUMG00000152115.2
chr7	5970924	6009106	ENSG00000122512.16	.	-	HAVANA	gene	.	ID=ENSG00000122512.16;gene_id=ENSG00000122512.16;gene_type=protein_coding;gene_name=PMS2;level=2;hgnc_id=HGNC:9122;tag=ncRNA_host;havana_gene=OTTHUMG00000023135.10
chr7	55019016	55211628	ENSG00000146648.20	.	+	HAVANA	gene	.	ID=ENSG00000146648.20;gene_id=ENSG00000146648.20;gene_type=protein_coding;gene_name=EGFR;level=1;hgnc_id=HGNC:3236;havana_gene=OTTHUMG00000023661.5
chr7	55179749	55188934	ENSG00000224057.1	.	-	HAVANA	gene	.	ID=ENSG00000224057.1;gene_id=ENSG00000224057.1;gene_type=lncRNA;gene_name=EGFR-AS1;level=2;hgnc_id=HGNC:40207;havana_gene=OTTHUMG00000156126.1
chr7	116672195	116798377	ENSG00000105976.16	.	+	HAVANA	gene	.	ID=ENSG00000105976.16;gene_id=ENSG00000105976.16;gene_type=protein_coding;gene_name=MET;level=1;hgnc_id=HGNC:7029;havana_gene=OTTHUMG00000023299.10
chr7	129188632	129213545	ENSG00000128602.11	.	+	HAVANA	gene	.	ID=ENSG00000128602.11;gene_id=ENSG00000128602.11;gene_type=protein_coding;gene_name=SMO;level=2;hgnc_id=HGNC:11119;havana_gene=OTTHUMG00000158421.4
chr7	140719326	140924929	ENSG00000157764.14	.	-	HAVANA	gene	.	ID=ENSG00000157764.14;gene_id=ENSG00000157764.14;gene_type=protein_coding;gene_name=BRAF;level=2;hgnc_id=HGNC:1097;havana_gene=OTTHUMG00000157457.6
chr7	148807256	148884321	ENSG00000106462.12	.	-	HAVANA	gene	.	ID=ENSG00000106462.12;gene_id=ENSG00000106462.12;gene_type=protein_coding;gene_name=EZH2;level=2;hgnc_id=HGNC:3527;havana_gene=OTTHUMG00000158973.3
chr9	4984389	5129948	ENSG00000096968.14	.	+	HAVANA	gene	.	ID=ENSG00000096968.14;gene_id=ENSG00000096968.14;gene_type=protein_coding;gene_name=JAK2;level=2;hgnc_id=HGNC:6192;tag=overlapping_locus;havana_gene=OTTHUMG00000019490.2
chr9	8314245	10613002	ENSG00000153707.18	.	-	HAVANA	gene	.	ID=ENSG00000153707.18;gene_id=ENSG00000153707.18;gene_type=protein_coding;gene_name=PTPRD;level=2;hgnc_id=HGNC:9668;tag=overlapping_locus;havana_gene=OTTHUMG00000021005.6
chr9	8858126	8864772	ENSG00000225706.2	.	+	HAVANA	gene	.	ID=ENSG00000225706.2;gene_id=ENSG00000225706.2;gene_type=lncRNA;gene_name=PTPRD-AS1;level=2;hgnc_id=HGNC:49753;havana_gene=OTTHUMG00000019543.3
chr9	10613201	10620420	ENSG00000226717.2	.	+	HAVANA	gene	.	ID=ENSG00000226717.2;gene_id=ENSG00000226717.2;gene_type=lncRNA;gene_name=PTPRD-AS2;level=2;hgnc_id=HGNC:49754;havana_gene=OTTHUMG00000019549.2
chr9	21966928	21967751	ENSG00000224854.3	.	+	HAVANA	gene	.	ID=ENSG00000224854.3;gene_id=ENSG00000224854.3;gene_type=lncRNA;gene_name=CDKN2A-DT;level=2;hgnc_id=HGNC:23831;tag=overlapping_locus;havana_gene=OTTHUMG00000019687.1
chr9	21967751	21995301	ENSG00000147889.18	.	-	HAVANA	gene	.	ID=ENSG00000147889.18;gene_id=ENSG00000147889.18;gene_type=protein_coding;gene_name=CDKN2A;level=1;hgnc_id=HGNC:1787;havana_gene=OTTHUMG00000019686.7
chr9	136494432	136546048	ENSG00000148400.13	.	-	HAVANA	gene	.	ID=ENSG00000148400.13;gene_id=ENSG00000148400.13;gene_type=protein_coding;gene_name=NOTCH1;level=2;hgnc_id=HGNC:7881;tag=ncRNA_host;havana_gene=OTTHUMG00000020935.3
chrX	101349446	101390796	ENSG00000010671.16	.	-	HAVANA	gene	.	ID=ENSG00000010671.16;gene_id=ENSG00000010671.16;gene_type=protein_coding;gene_name=BTK;level=2;hgnc_id=HGNC:1133;havana_gene=OTTHUMG00000022022.2
